X,Y,Z,Radii
11.836773,0.357477,5.964144,0.77
10.449763,0.506187,5.535171,0.77
12.048399,-0.689215,6.17148,0.37
12.008362,0.939449,6.866415,0.37
12.50597,0.706374,5.181984,0.37
9.337295,0.626299,5.191994,0.73
11.833913,0.354617,5.962713,0.77
10.444043,0.504757,5.532311,0.77
12.044109,-0.692075,6.16862,0.37
12.012652,0.936589,6.862125,0.37
12.49882,0.707804,5.189134,0.37
9.330146,0.626299,5.186274,0.73
9.504594,7.362593,-1.574328,0.77
8.939781,7.352584,-2.921301,0.77
9.035585,8.144753,-0.983776,0.37
10.574165,7.549911,-1.625804,0.37
9.334435,6.401695,-1.095309,0.37
8.4865,7.345434,-3.999451,0.73
9.500305,7.359733,-1.580048,0.77
8.938351,7.352584,-2.925591,0.77
9.029865,8.144753,-0.986636,0.37
10.567015,7.535612,-1.632953,0.37
9.330146,6.403125,-1.099599,0.37
8.48793,7.341145,-4.008031,0.73
-14.204699,-12.321512,1.664412,0.77
-14.443494,-11.244791,0.707804,0.77
-14.563606,-13.262391,1.255459,0.37
-14.728046,-12.112745,2.592422,0.37
-13.139419,-12.405877,1.867459,0.37
-14.635102,-10.381127,-0.058626,0.73
-14.207559,-12.317222,1.661552,0.77
-14.446353,-11.239072,0.704944,0.77
-14.567896,-13.259532,1.255459,0.37
-14.733766,-12.108455,2.588132,0.37
-13.139419,-12.404447,1.870319,0.37
-14.636532,-10.375408,-0.058626,0.73
-7.609966,4.148161,14.429196,0.77
-6.593303,4.731563,13.558381,0.77
-7.554201,4.602872,15.415832,0.37
-7.446957,3.078591,14.520709,0.37
-8.598032,4.32404,14.011663,0.37
-5.778255,5.199143,12.860587,0.73
-7.607107,4.149591,14.424905,0.77
-6.590443,4.732993,13.554092,0.77
-7.55849,4.604302,15.410112,0.37
-7.442668,3.074301,14.51499,0.37
-8.589453,4.32833,14.008803,0.37
-5.773965,5.200573,12.854867,0.73
-1.668702,-7.484135,9.453118,0.77
-2.535226,-8.659519,9.468846,0.77
-1.592917,-7.070892,10.455482,0.37
-2.081945,-6.730574,8.788211,0.37
-0.676347,-7.760108,9.10708,0.37
-3.23016,-9.600399,9.480285,0.73
-1.674422,-7.486994,9.453118,0.77
-2.539516,-8.662379,9.467416,0.77
-1.598636,-7.072322,10.454052,0.37
-2.087665,-6.733433,8.785351,0.37
-0.683496,-7.764398,9.10708,0.37
-3.238741,-9.606118,9.483145,0.73
-6.498928,2.566684,-7.429799,0.77
-7.216742,1.355552,-7.817303,0.77
-6.01133,2.999946,-8.299182,0.37
-5.746798,2.326459,-6.683387,0.37
-7.193864,3.291647,-7.013695,0.37
-7.791565,0.384645,-8.127594,0.73
-6.498928,2.562394,-7.431229,0.77
-7.218172,1.354122,-7.820163,0.77
-6.0099,2.994226,-8.300612,0.37
-5.745368,2.323599,-6.680528,0.37
-7.195294,3.284497,-7.016556,0.37
-7.794425,0.383215,-8.133314,0.73
-5.206293,-14.635102,-6.094265,0.77
-6.63191,-14.778092,-5.818294,0.77
-4.960349,-13.586979,-6.237256,0.37
-4.94891,-15.187045,-6.996536,0.37
-4.62575,-15.026896,-5.262059,0.37
-7.775837,-14.891055,-5.595228,0.73
-5.216303,-14.635102,-6.091406,0.77
-6.637629,-14.778092,-5.815434,0.77
-4.973218,-13.586979,-6.234396,0.37
-4.961779,-15.178466,-6.993676,0.37
-4.638619,-15.025466,-5.254909,0.37
-7.781556,-14.891055,-5.593798,0.73
-9.317276,-11.311998,8.051808,0.77
-10.152342,-11.038884,9.217183,0.77
-9.829184,-11.999782,7.384042,0.37
-8.376398,-11.756698,8.367818,0.37
-9.11137,-10.386847,7.518453,0.37
-10.82154,-10.81868,10.150912,0.73
-9.320135,-11.310568,8.054668,0.77
-10.159491,-11.037454,9.220043,0.77
-9.834904,-11.995492,7.396911,0.37
-8.376398,-11.752408,8.362098,0.37
-9.11137,-10.392566,7.521313,0.37
-10.832979,-10.81868,10.153772,0.73
6.205798,6.252985,8.593743,0.77
4.798769,6.64335,8.603753,0.77
6.780621,6.959359,8.000332,0.37
6.308751,5.259199,8.163341,0.37
6.594733,6.242976,9.608978,0.37
3.672002,6.956499,8.610902,0.73
6.200078,6.250125,8.598033,0.77
4.793049,6.64335,8.605182,0.77
6.773471,6.955069,8.006051,0.37
6.303032,5.254909,8.170491,0.37
6.590443,6.241546,9.608978,0.37
3.664852,6.95221,8.612332,0.73
-7.867349,13.754278,-9.288678,0.77
-6.536107,14.317663,-9.491725,0.77
-7.994613,12.874886,-9.914977,0.37
-8.623772,14.490682,-9.551781,0.37
-7.994613,13.471157,-8.247706,0.37
-5.469396,14.769513,-9.654734,0.73
-7.86163,13.759999,-9.285818,0.77
-6.530388,14.323382,-9.493155,0.77
-7.991751,12.887755,-9.894959,0.37
-8.616622,14.497831,-9.553211,0.37
-7.988892,13.471157,-8.243417,0.37
-5.456527,14.786672,-9.661884,0.73
5.141947,-4.080955,-12.431615,0.77
5.600947,-5.419348,-12.075568,0.77
5.648134,-3.341693,-11.818185,0.37
4.069516,-4.003741,-12.268606,0.37
5.356433,-3.882199,-13.478306,0.37
5.969863,-6.493209,-11.789587,0.73
5.139087,-4.086674,-12.428755,0.77
5.599517,-5.425068,-12.074138,0.77
5.646704,-3.343123,-11.811035,0.37
4.066656,-4.01089,-12.265746,0.37
5.352143,-3.889348,-13.476876,0.37
5.968433,-6.501788,-11.788157,0.73
6.969368,0.827916,-6.16147,0.77
7.840183,0.852225,-4.990377,0.77
7.10664,1.737337,-6.742013,0.37
5.931256,0.759281,-5.846891,0.37
7.209593,-0.031458,-6.784911,0.37
8.537977,0.870814,-4.052357,0.73
6.973658,0.826486,-6.15718,0.77
7.844472,0.850795,-4.986087,0.77
7.115219,1.731618,-6.737723,0.37
5.932685,0.756421,-5.844032,0.37
7.212453,-0.030028,-6.777762,0.37
8.539407,0.867954,-4.045208,0.73
-10.261015,10.993128,-15.136999,0.77
-10.724305,9.611838,-15.052634,0.77
-10.837268,11.616567,-14.460654,0.37
-10.382557,11.360614,-16.152234,0.37
-9.210032,11.047464,-14.862457,0.37
-11.097511,8.503659,-14.98543,0.73
-10.266735,10.988838,-15.142719,0.77
-10.727165,9.607547,-15.054064,0.77
-10.847277,11.615137,-14.466374,0.37
-10.389707,11.356324,-16.159383,0.37
-9.217184,11.040315,-14.878186,0.37
-11.097511,8.500799,-14.98543,0.73
-12.80768,-8.696696,7.987463,0.77
-11.440689,-8.32921,7.628556,0.77
-12.796241,-9.58181,8.619481,0.37
-13.379644,-8.909753,7.088051,0.37
-13.28098,-7.88022,8.525108,0.37
-10.34538,-8.03465,7.341145,0.73
-12.801961,-8.699556,7.983173,0.77
-11.43497,-8.32921,7.624266,0.77
-12.790522,-9.58467,8.612332,0.37
-13.378214,-8.911183,7.086621,0.37
-13.27669,-7.88737,8.519388,0.37
-10.34109,-8.03322,7.329705,0.73
-4.050927,-12.987848,8.349229,0.77
-2.825497,-12.678989,7.619976,0.77
-3.820712,-13.602708,9.214323,0.37
-4.738713,-13.528354,7.702911,0.37
-4.525657,-12.068418,8.682397,0.37
-1.84315,-12.433045,7.035144,0.73
-4.050927,-12.982128,8.34494,0.77
-2.821207,-12.676129,7.614257,0.77
-3.816422,-13.591269,9.212893,0.37
-4.740143,-13.518345,7.700051,0.37
-4.527087,-12.066988,8.678108,0.37
-1.834571,-12.424465,7.029424,0.73
12.285764,-7.928836,-2.941319,0.77
12.0341,-7.302537,-4.235386,0.77
11.383493,-8.425014,-2.590992,0.37
12.581755,-7.173846,-2.217786,0.37
13.080792,-8.663809,-3.034264,0.37
11.831054,-6.79921,-5.272068,0.73
12.287194,-7.924547,-2.948469,0.77
12.03553,-7.299677,-4.241106,0.77
11.383493,-8.423584,-2.595281,0.37
12.583185,-7.169556,-2.226365,0.37
13.079362,-8.65237,-3.041413,0.37
11.832484,-6.79492,-5.279217,0.73
1.106748,8.818239,6.717705,0.77
1.485674,7.967444,5.593797,0.77
0.104383,8.562285,7.052303,0.37
1.122477,9.862071,6.410275,0.37
1.803113,8.679537,7.539901,0.37
1.790244,7.283948,4.692956,0.73
1.109608,8.818239,6.713415,0.77
1.488534,7.961725,5.589508,0.77
0.108673,8.566575,7.045154,0.37
1.125337,9.859212,6.408845,0.37
1.804543,8.683827,7.534182,0.37
1.791674,7.272509,4.694386,0.73
-12.19139,8.771052,-3.368862,0.77
-11.590829,10.076557,-3.629105,0.77
-11.446409,8.098996,-2.951328,0.37
-12.571746,8.349229,-4.295441,0.37
-13.012158,8.875435,-2.663918,0.37
-11.10895,11.121819,-3.837871,0.73
-12.19568,8.771052,-3.371722,0.77
-11.589399,10.079417,-3.630535,0.77
-11.457848,8.097566,-2.968487,0.37
-12.571746,8.34494,-4.294011,0.37
-13.017877,8.874005,-2.661058,0.37
-11.10609,11.127539,-3.84073,0.73
-6.927902,1.907496,11.026016,0.77
-8.130454,2.134852,11.821044,0.77
-6.973658,0.92658,10.559866,0.37
-6.049939,1.957543,11.663754,0.37
-6.847826,2.666777,10.251006,0.37
-9.095642,2.31645,12.458783,0.73
-6.932191,1.904637,11.030306,0.77
-8.134744,2.133422,11.825334,0.77
-6.976518,0.92801,10.562726,0.37
-6.055658,1.954683,11.668044,0.37
-6.852116,2.658198,10.255296,0.37
-9.101361,2.31359,12.463072,0.73
9.7248,-6.001321,9.175715,0.77
10.18952,-6.897874,8.120444,0.77
9.934997,-6.437443,10.148052,0.37
8.65237,-5.846891,9.079912,0.37
10.230987,-5.043283,9.0985,0.37
10.564155,-7.614256,7.275369,0.73
9.72194,-6.005611,9.167136,0.77
10.19238,-6.902164,8.117584,0.77
9.922128,-6.441733,10.128034,0.37
8.64808,-5.851181,9.072762,0.37
10.232417,-5.044713,9.088491,0.37
10.568445,-7.619975,7.268219,0.73
-1.096739,13.837214,-2.16345,0.77
-0.746411,14.65798,-3.320244,0.77
-0.250234,13.215204,-1.884617,0.37
-1.941814,13.199475,-2.406535,0.37
-1.361272,14.474952,-1.324094,0.37
-0.46615,15.314308,-4.246825,0.73
-1.095309,13.838644,-2.16917,0.77
-0.744982,14.65941,-3.324534,0.77
-0.251664,13.222354,-1.891768,0.37
-1.940384,13.196615,-2.413684,0.37
-1.358412,14.476382,-1.326954,0.37
-0.46758,15.320027,-4.251115,0.73
-2.63246,-6.117143,4.362647,0.77
-2.184899,-5.264919,5.460816,0.77
-2.083375,-7.055163,4.376946,0.37
-2.456581,-5.616676,3.413189,0.37
-3.69488,-6.323051,4.464171,0.37
-1.825992,-4.582854,6.340209,0.73
-2.626741,-6.117143,4.366937,0.77
-2.177749,-5.263489,5.467966,0.77
-2.080515,-7.050874,4.381236,0.37
-2.450861,-5.623825,3.417479,0.37
-3.687731,-6.324481,4.465601,0.37
